stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
RHFL,Reliance Home Finance Limited,EQ,22-Sep-17,INE217K01011,,#N/A,TCI Developers,Construction & Contracting - Real Estate,311,-7.7,-2.42,116,Retail/Real Estate
RICOAUTO,Rico Auto Industries Limited,EQ,12-May-03,INE209B01025,,#N/A,DB Realty,Construction & Contracting - Real Estate,13.8,-0.7,-4.83,336,Retail/Real Estate
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-Nov-95,INE046A01015,,#N/A,Lypsa Gems,Diamond Cutting & Jewellery & Precious Metals,5.95,0.75,14.42,13,Services 
RITES,RITES Limited,EQ,2-Jul-18,INE320J01015,,#N/A,EIH Assoc Hotel,Hotels,286,27.25,10.53,871,Services 
RKDL,Ravi Kumar Distilleries Limited,EQ,27-Dec-10,INE722J01012,,#N/A,JIK Industries,Trading,0.6,0.05,9.09,4,Services 
RKFORGE,Ramkrishna Forgings Limited,EQ,5-May-04,INE399G01015,,#N/A,Jindal Worldwid,Textiles - General,53.2,3.9,7.91,"1,067",Services 
RMCL,Radha Madhav Corporation Limited,EQ,26-Nov-07,INE172H01014,,#N/A,The Byke Hosp,Hotels,22.15,1.6,7.79,89,Services 
RML,Rane (Madras) Limited,EQ,30-Aug-05,INE050H01012,,#N/A,Sical Logistics,Transport & Logistics,19.55,1.25,6.83,114,Services 
RNAVAL,Reliance Naval and Engineering Limited,EQ,9-Oct-09,INE542F01012,,#N/A,Zodiac JRD-MKJ,Diamond Cutting & Jewellery & Precious Metals,29,1.8,6.62,15,Services 
ROHITFERRO,Rohit Ferro-Tech Limited,BE,13-Apr-06,INE248H01012,,#N/A,Mercator,Shipping,1.05,0.05,5,32,Services 
ROHLTD,Royal Orchid Hotels Limited,EQ,6-Feb-06,INE283H01019,,#N/A,Accuracy Shippi,Shipping,32.8,1.55,4.96,49,Services 
ROLLT,Rollatainers Limited,EQ,22-Nov-16,INE927A01040,,#N/A,Jet Airways,Transport & Logistics,91.05,4.3,4.96,"1,034",Services 
ROLTA,Rolta India Limited,EQ,1-Mar-95,INE293A01013,,#N/A,Viceroy Hotels,Hotels,3.2,0.15,4.92,14,Services 
ROML,Raj Oil Mills Limited,EQ,6-Oct-20,INE294G01026,,#N/A,Healthcare Glob,Hospitals & Medical Services,166.9,7.8,4.9,"2,091",Services 
ROSSARI,Rossari Biotech Limited,EQ,23-Jul-20,INE02A801020,,#N/A,Global Offshore,Shipping,8.6,0.4,4.88,21,Services 
ROSSELLIND,Rossell India Limited,EQ,25-Sep-12,INE847C01020,,#N/A,Goenka Diamond,Diamond Cutting & Jewellery & Precious Metals,1.2,0.05,4.35,38,Services 
ROUTE,ROUTE MOBILE LIMITED,EQ,21-Sep-20,INE450U01017,,#N/A,Reliance Naval,Shipping,3.7,0.15,4.23,273,Services 
RPGLIFE,RPG Life Sciences Limited,EQ,10-Jun-08,INE105J01010,,#N/A,Sicagen India,Trading,15.6,0.6,4,62,Services 
RPOWER,Reliance Power Limited,BE,11-Feb-08,INE614G01033,,#N/A,Country Club,Hotels,7.15,0.25,3.62,117,Services 
RPPINFRA,R.P.P. Infra Projects Limited,EQ,6-Dec-10,INE324L01013,,#N/A,Speciality Rest,Hotels,43.8,1.45,3.42,206,Services 
RSSOFTWARE,R. S. Software (India) Limited,EQ,19-May-99,INE165B01029,,#N/A,Kamat Hotels,Hotels,36.65,1.1,3.09,86,Services 
RSWM,RSWM Limited,EQ,15-Feb-95,INE611A01016,,#N/A,Essar Shipping,Shipping,10,0.3,3.09,207,Services 
RSYSTEMS,R Systems International Limited,EQ,26-Apr-06,INE411H01032,,#N/A,Chalet Hotels,Hotels,196.3,4,2.08,"4,025",Services 
RTNINFRA,RattanIndia Infrastructure Limited,EQ,30-Jul-12,INE834M01019,,#N/A,Oriental Hotels,Hotels,26.8,0.5,1.9,479,Services 
RTNPOWER,RattanIndia Power Limited,EQ,30-Oct-09,INE399K01017,,#N/A,Narayana Hruda,Hospitals & Medical Services,392.3,6.2,1.61,"8,017",Services 
RUBYMILLS,The Ruby Mills Limited,EQ,29-Mar-95,INE301D01026,,#N/A,Transport Corp,Transport & Logistics,258.85,3.9,1.53,"1,993",Services 
RUCHI,Ruchi Soya Industries Limited,BE,24-Jan-20,INE619A01035,,#N/A,Swan Energy,Trading,133,1.95,1.49,"3,249",Services 
RUCHINFRA,Ruchi Infrastructure Limited,BE,16-Oct-96,INE413B01023,,#N/A,Ind Motor Parts,Trading,602.05,8,1.35,751,Services 
RUCHIRA,Ruchira Papers Limited,EQ,20-Dec-06,INE803H01014,,#N/A,Rajesh Exports,Diamond Cutting & Jewellery & Precious Metals,482.45,5.75,1.21,"14,245",Services 
RUPA,Rupa & Company Limited,EQ,7-Dec-11,INE895B01021,,#N/A,Taj GVK Hotels,Hotels,142.7,1.55,1.1,895,Services 
RUSHIL,Rushil Decor Limited,EQ,7-Jul-11,INE573K01017,,#N/A,Asian Hotel (W),Hotels,284.9,3.05,1.08,332,Services 
RVNL,Rail Vikas Nigam Limited,EQ,11-Apr-19,INE415G01027,,#N/A,Asian Hotel (E),Hotels,158.55,1.65,1.05,183,Services 
S&SPOWER,S&S Power Switchgears Limited,EQ,27-Sep-95,INE902B01017,,#N/A,Indian Hotels,Hotels,129.05,1.15,0.9,"15,347",Services 
SABEVENTS,Sab Events & Governance Now Media Limited,BE,15-Sep-16,INE860T01019,,#N/A,Uniphos Ent,Trading,65.75,0.55,0.84,457,Services 
SABTN,Sri Adhikari Brothers Television Network Limited,BE,16-Nov-07,INE416A01036,,#N/A,Opto Circuits,Hospitals & Medical Services,6.1,0.05,0.83,183,Services 
SADBHAV,Sadbhav Engineering Limited,EQ,1-Mar-06,INE226H01026,,#N/A,Kothari Petro,Trading,18.8,0.15,0.8,111,Services 
SADBHIN,Sadbhav Infrastructure Project Limited,EQ,16-Sep-15,INE764L01010,,#N/A,Agarwal Ind,Transport & Logistics,99.55,0.75,0.76,102,Services 
SAFARI,Safari Industries (India) Limited,EQ,12-Sep-19,INE429E01023,,#N/A,Gujarat Pipavav,Shipping,92.55,0.65,0.71,"4,474",Services 
SAGARDEEP,Sagardeep Alloys Limited,BE,25-Jan-19,INE976T01013,,#N/A,Lotus Eye Care,Hospitals & Medical Services,32,0.2,0.63,67,Services 
SAGCEM,Sagar Cements Limited,EQ,29-Jan-07,INE229C01013,,#N/A,Container Corp,Transport & Logistics,403.25,2.4,0.6,"24,570",Services 
SAIL,Steel Authority of India Limited,EQ,6-Jul-95,INE114A01011,,#N/A,Arshiya,Transport & Logistics,16.95,0.1,0.59,437,Services 
SAKAR,Sakar Healthcare Limited,EQ,11-Apr-19,INE732S01012,,#N/A,PTC India,Trading,61.9,0.35,0.57,"1,832",Services 
SAKHTISUG,Sakthi Sugars Limited,EQ,6-Sep-95,INE623A01011,,#N/A,EIH,Hotels,100.95,0.55,0.55,"6,313",Services 
SAKSOFT,Saksoft Limited,EQ,9-May-05,INE667G01015,,#N/A,Poly Medicure,Hospitals & Medical Services,535.1,2.45,0.46,"4,722",Services 
SAKUMA,Sakuma Exports Limited,EQ,8-Mar-06,INE190H01024,,#N/A,Control Print,Trading,221.45,1,0.45,362,Services 
SALASAR,Salasar Techno Engineering Limited,EQ,25-Jul-17,INE170V01019,,#N/A,Thyrocare Techn,Hospitals & Medical Services,1032,3.3,0.32,"5,457",Services 
SALONA,Salona Cotspin Limited,EQ,16-Jun-16,INE498E01010,,#N/A,Adani Enterpris,Trading,451.05,1.25,0.28,"49,607",Services 
SALSTEEL,S.A.L. Steel Limited,EQ,24-Nov-04,INE658G01014,,#N/A,Goldiam Inter,Diamond Cutting & Jewellery & Precious Metals,169.4,0.4,0.24,376,Services 
SALZERELEC,Salzer Electronics Limited,EQ,2-Dec-15,INE457F01013,,#N/A,Royal Orchid,Hotels,74.15,0.15,0.2,203,Services 
SAMBHAAV,Sambhaav Media Limited,EQ,5-Jun-96,INE699B01027,,#N/A,India Tourism D,Hotels,275.45,0.4,0.15,"2,363",Services 
SANCO,Sanco Industries Limited,EQ,22-Nov-16,INE782L01012,,#N/A,Apollo Hospital,Hospitals & Medical Services,2362.3,2.4,0.1,"32,866",Services 
SANDESH,The Sandesh Limited,EQ,26-Nov-02,INE583B01015,,#N/A,Future Supply,Transport & Logistics,106.35,-0.05,-0.05,467,Services 
SANDHAR,Sandhar Technologies Limited,EQ,2-Apr-18,INE278H01035,,#N/A,GE Shipping,Shipping,284.4,-0.25,-0.09,"4,180",Services 
SANGAMIND,Sangam (India) Limited,EQ,17-Jul-96,INE495C01010,,#N/A,STC India,Trading,78.7,-0.25,-0.32,472,Services 
SANGHIIND,Sanghi Industries Limited,EQ,10-May-95,INE999B01013,,#N/A,Blue Dart,Couriers,3825.15,-24.1,-0.63,"9,076",Services 
SANGHVIFOR,Sanghvi Forging and Engineering Limited,BE,23-May-11,INE263L01013,,#N/A,Thangamayil,Diamond Cutting & Jewellery & Precious Metals,537.2,-3.55,-0.66,737,Services 
SANGHVIMOV,Sanghvi Movers Limited,EQ,24-Jan-07,INE989A01024,,#N/A,VRL Logistics,Transport & Logistics,204.9,-1.5,-0.73,"1,851",Services 
SANGINITA,Sanginita Chemicals Limited,EQ,15-Jul-19,INE753W01010,,#N/A,Tribhovandas,Diamond Cutting & Jewellery & Precious Metals,46.2,-0.35,-0.75,308,Services 
SANOFI,Sanofi India Limited,EQ,19-May-03,INE058A01010,,#N/A,Fortis Health,Hospitals & Medical Services,151,-1.15,-0.76,"11,400",Services 
SANWARIA,Sanwaria Consumer Limited,BZ,27-Mar-06,INE890C01046,,#N/A,Interglobe Avi,Transport & Logistics,1715.05,-14.85,-0.86,"66,006",Services 
SARDAEN,Sarda Energy & Minerals Limited,EQ,3-Dec-09,INE385C01013,,#N/A,Metropolis,Hospitals & Medical Services,1972.25,-18.15,-0.91,"10,080",Services 
SAREGAMA,Saregama India Limited,EQ,30-Jul-97,INE979A01017,,#N/A,Mahindra Holida,Hotels,208.45,-2.05,-0.97,"2,784",Services 
SARLAPOLY,Sarla Performance Fibers Limited,EQ,19-Jan-07,INE453D01025,,#N/A,Renaissance,Diamond Cutting & Jewellery & Precious Metals,271.2,-3.25,-1.18,512,Services 
SASKEN,Sasken Technologies Limited,EQ,9-Sep-05,INE231F01020,,#N/A,Allcargo,Transport & Logistics,139.15,-1.75,-1.24,"3,419",Services 
SASTASUNDR,Sastasundar Ventures Limited,EQ,5-Oct-10,INE019J01013,,#N/A,Gati,Couriers,86.65,-1.15,-1.31,"1,057",Services 
SATHAISPAT,Sathavahana Ispat Limited,BE,27-Dec-06,INE176C01016,,Shalby Limited,Shalby,Hospitals & Medical Services,104.8,-1.75,-1.64,"1,132",Services 
SATIA,Satia Industries Limited,EQ,17-Jul-19,INE170E01023,,#N/A,Shipping Corp,Shipping,82.6,-1.4,-1.67,"3,847",Services 
SATIN,Satin Creditcare Network Limited,EQ,26-Aug-15,INE836B01017,,#N/A,Westlife Dev,Hotels,429.95,-7.55,-1.73,"6,693",Services 
SBICARD,SBI Cards and Payment Services Limited,EQ,16-Mar-20,INE018E01016,,#N/A,Total Transport,Transport & Logistics,58.3,-1.05,-1.77,83,Services 
SBILIFE,SBI Life Insurance Company Limited,EQ,3-Oct-17,INE123W01016,,#N/A,Seamec,Shipping,476.6,-8.7,-1.79,"1,212",Services 
SBIN,State Bank of India,EQ,1-Mar-95,INE062A01020,,#N/A,Lemon Tree Hote,Hotels,43.6,-0.8,-1.8,"3,454",Services 
SCAPDVR,Stampede Capital Limited,EQ,10-Oct-17,INE224E01036,,#N/A,Shreyas Shippin,Shipping,67.6,-1.3,-1.89,148,Services 
SCHAEFFLER,Schaeffler India Limited,EQ,29-Nov-00,INE513A01014,,#N/A,Apollo Sindoori,Hotels,565,-10.95,-1.9,147,Services 
SCHAND,S Chand And Company Limited,EQ,9-May-17,INE807K01035,,#N/A,Patel Integrate,Transport & Logistics,30.65,-0.6,-1.92,51,Services 
SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,20-Mar-12,INE839M01018,,#N/A,MMTC Ltd,Trading,21.6,-0.45,-2.04,"3,240",Services 
SCI,Shipping Corporation Of India Limited,EQ,13-Aug-97,INE109A01011,,#N/A,Asian Hotels,Hotels,66.9,-1.4,-2.05,130,Services 
SDBL,Som Distilleries & Breweries Limited,EQ,18-Mar-14,INE480C01020,,#N/A,Advani Hotels,Hotels,55.2,-1.3,-2.3,255,Services 
SEAMECLTD,Seamec Limited,EQ,28-Jun-95,INE497B01018,,#N/A,Indraprastha,Hospitals & Medical Services,59.85,-1.5,-2.44,549,Services 
SELAN,Selan Exploration Technology Limited,EQ,26-Sep-06,INE818A01017,,SPICEJET LTD,SpiceJet,Transport & Logistics,102.95,-3.2,-3.01,"6,182",Services 
SELMCL,SEL Manufacturing Company Limited,BZ,21-Aug-07,INE105I01012,,#N/A,Snowman Logist,Transport & Logistics,62.9,-2,-3.08,"1,051",Services 
SEPOWER,S.E. Power Limited,EQ,27-Jul-12,INE735M01018,,#N/A,V2 Retail,Retail,96.6,-4.05,-4.02,329,Services 
SEQUENT,Sequent Scientific Limited,EQ,10-Mar-16,INE807F01027,,#N/A,Navkar Corp,Transport & Logistics,39.1,-1.7,-4.17,589,Services 
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-Mar-95,INE630A01024,,#N/A,TGB Banquets,Hotels,6.65,-0.3,-4.32,19,Services 
SETCO,Setco Automotive Limited,EQ,1-Jul-16,INE878E01021,,#N/A,PC Jeweller,Diamond Cutting & Jewellery & Precious Metals,23.2,-2.05,-8.12,917,Services 
SETUINFRA,Setubandhan Infrastructure Limited,EQ,4-Oct-11,INE023M01027,,#N/A,Bhagyanagar Ind,Cables - Telephone,27,3.75,16.13,86,Telecom
SEYAIND,Seya Industries Limited,EQ,11-Jul-19,INE573R01012,,#N/A,GTL Infra,Telecommunications - Equipment,0.75,0.05,7.14,931,Telecom
SEZAL,Sezal Glass Limited,BZ,22-Nov-11,INE955I01036,,#N/A,Uniinfo Telecom,Telecommunications - Service,25.5,1.2,4.94,27,Telecom
SFL,Sheela Foam Limited,EQ,9-Dec-16,INE916U01025,,#N/A,Paramount Comm,Cables - Telephone,8,0.35,4.58,147,Telecom
SGL,STL Global Limited,EQ,10-Apr-06,INE353H01010,,#N/A,GTL,Telecommunications - Equipment,4.7,0.2,4.44,74,Telecom
SHAHALLOYS,Shah Alloys Limited,EQ,16-Jun-05,INE640C01011,,#N/A,Reliance Comm,Telecommunications - Service,2.5,0.1,4.17,691,Telecom
SHAKTIPUMP,Shakti Pumps (India) Limited,BE,29-Jan-15,INE908D01010,,#N/A,CMI,Cables - Telephone,45.2,1.7,3.91,68,Telecom
SHALBY,Shalby Limited,EQ,15-Dec-17,INE597J01018,,#N/A,Tamil Telecom,Cables - Telephone,1.65,0.05,3.12,8,Telecom
SHALPAINTS,Shalimar Paints Limited,EQ,3-Mar-08,INE849C01026,,#N/A,Bharti Infratel,Telecommunications - Equipment,250.7,5.8,2.37,"46,370",Telecom
SHANKARA,Shankara Building Products Limited,EQ,5-Apr-17,INE274V01019,,#N/A,TataTeleservice,Telecommunications - Service,8.15,0.15,1.88,"1,593",Telecom
SHANTIGEAR,Shanthi Gears Limited,EQ,17-Jan-96,INE631A01022,,#N/A,Finolex Cables,Cables - Telephone,362.95,4,1.11,"5,551",Telecom
SHARDACROP,Sharda Cropchem Limited,EQ,23-Sep-14,INE221J01015,,#N/A,Tata Comm,Telecommunications - Service,1044.2,7.75,0.75,"29,760",Telecom
SHARDAMOTR,Sharda Motor Industries Limited,EQ,3-Sep-15,INE597I01010,,#N/A,Honeywell Autom,Telecommunications - Equipment,31490.35,220,0.7,"27,842",Telecom
SHAREINDIA,Share India Securities Limited,EQ,21-Sep-20,INE932X01018,,#N/A,Sterlite Techno,Cables - Telephone,162.55,0.55,0.34,"6,441",Telecom
SHEMAROO,Shemaroo Entertainment Limited,EQ,1-Oct-14,INE363M01019,,#N/A,ITI,Telecommunications - Equipment,128,0.35,0.27,"11,842",Telecom
SHIL,Somany Home Innovation Limited,EQ,26-Dec-19,INE05AN01011,,#N/A,HFCL,Telecommunications - Equipment,21.9,0.05,0.23,"2,813",Telecom
SHILPAMED,Shilpa Medicare Limited,EQ,3-Dec-09,INE790G01031,,#N/A,MTNL,Telecommunications - Service,10.9,0,0,687,Telecom
SHIRPUR-G,Shirpur Gold Refinery Limited,BE,21-Mar-01,INE196B01016,,#N/A,Surana Telecom,Cables - Telephone,4.15,0,0,56,Telecom
SHIVAMAUTO,Shivam Autotech Limited,EQ,21-Nov-06,INE637H01024,,#N/A,Bharti Airtel,Telecommunications - Service,504.15,-0.25,-0.05,"275,042",Telecom
SHIVAMILLS,Shiva Mills Limited,EQ,26-Feb-18,INE644Y01017,,#N/A,Vindhya Telelin,Cables - Telephone,854.05,-2.35,-0.27,"1,012",Telecom
SHIVATEX,Shiva Texyarn Limited,EQ,26-Dec-17,INE705C01020,,#N/A,Birla Cable,Cables - Telephone,57.4,-0.35,-0.61,172,Telecom
SHK,S H Kelkar and Company Limited,EQ,16-Nov-15,INE500L01026,,#N/A,NELCO,Telecommunications - Equipment,207.05,-1.7,-0.81,472,Telecom
SHOPERSTOP,Shoppers Stop Limited,EQ,23-May-05,INE498B01024,,#N/A,Olectra Greente,Telecommunications - Service,99.8,-1.2,-1.19,819,Telecom
SHRADHA,Shradha Infraprojects Limited,EQ,22-Oct-20,INE715Y01015,,#N/A,Vodafone Idea,Telecommunications - Service,9.95,-0.15,-1.49,"28,592",Telecom
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-Jan-20,INE232A01011,,#N/A,Aksh Optifibre,Cables - Telephone,8.05,-0.15,-1.83,131,Telecom
SHREECEM,SHREE CEMENT LIMITED,EQ,26-Apr-95,INE070A01015,,#N/A,Tejas Networks,Telecommunications - Equipment,136.5,-6.55,-4.58,"1,266",Telecom
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-Sep-15,INE712K01011,,#N/A,MIC Electronics,Telecommunications - Equipment,0.65,-0.05,-7.14,14,Telecom
SHREERAMA,Shree Rama Multi-Tech Limited,EQ,13-Mar-00,INE879A01019,,#N/A,Golden Tobacco,Cigarettes,31.9,0.25,0.79,56,Tabacco
SHRENIK,Shrenik Limited,EQ,2-Aug-19,INE632X01030,,#N/A,ITC,Cigarettes,216.2,-0.1,-0.05,"266,035",Tabacco
SHREYANIND,Shreyans Industries Limited,EQ,6-Nov-96,INE231C01019,,#N/A,VST,Cigarettes,3951.65,-7.1,-0.18,"6,102",Tabacco
SHREYAS,Shreyas Shipping & Logistics Limited,EQ,1-Mar-95,INE757B01015,,#N/A,Kothari Product,Cigarettes,72.55,-0.55,-0.75,217,Tabacco
SHRIPISTON,Shriram Pistons & Rings Limited,BE,2-Jun-16,INE526E01018,,#N/A,Rattan Power,Power - Generation & Distribution,2.4,0.35,17.07,"1,186",Utilities
SHRIRAMCIT,Shriram City Union Finance Limited,EQ,4-Apr-05,INE722A01011,,#N/A,KSK Energy Vent,Power - Generation & Distribution,0.55,0.05,10,23,Utilities
SHRIRAMEPC,Shriram EPC Limited,EQ,20-Feb-08,INE964H01014,,#N/A,Jaiprakash Pow,Power - Generation & Distribution,4.25,0.35,8.97,"2,907",Utilities
SHYAMCENT,Shyam Century Ferrous Limited,EQ,28-Jul-15,INE979R01011,,#N/A,S E Power,Power - Generation & Distribution,3.15,0.25,8.62,13,Utilities
SHYAMTEL,Shyam Telecom Limited,EQ,6-Nov-06,INE635A01023,,#N/A,Orient Green,Power - Generation & Distribution,2.55,0.15,6.25,191,Utilities
SICAGEN,Sicagen India Limited,EQ,21-Aug-08,INE176J01011,,#N/A,Indowind Energy,Power - Generation & Distribution,4.55,0.2,4.6,41,Utilities
SICAL,Sical Logistics Limited,EQ,28-Apr-99,INE075B01012,,#N/A,Energy Dev,Power - Generation & Distribution,10.25,0.45,4.59,49,Utilities
SIEMENS,Siemens Limited,EQ,6-Sep-95,INE003A01024,,#N/A,Inox Wind,Power - Generation & Distribution,57.85,2.35,4.23,"1,284",Utilities
SIGIND,Signet Industries Limited,EQ,29-Aug-18,INE529F01035,,#N/A,Rattan Infra,Power - Generation & Distribution,6.55,0.25,3.97,905,Utilities
SIL,Standard Industries Limited,BE,27-Jan-04,INE173A01025,,#N/A,Reliance Power,Power - Generation & Distribution,4.1,0.15,3.8,"1,150",Utilities
SILINV,SIL Investments Limited,EQ,22-May-96,INE923A01015,,#N/A,Schneider Infra,Power - Generation & Distribution,88.95,3.05,3.55,"2,127",Utilities
SILLYMONKS,Silly Monks Entertainment Limited,BE,8-Jul-20,INE203Y01012,,#N/A,Reliance Infra,Power - Generation & Distribution,29.7,0.95,3.3,781,Utilities
SIMBHALS,Simbhaoli Sugars Limited,EQ,14-Mar-16,INE748T01016,,#N/A,GVK Power,Power - Generation & Distribution,3.35,0.1,3.08,529,Utilities
SIMPLEXINF,Simplex Infrastructures Limited,EQ,9-Mar-04,INE059B01024,,#N/A,Torrent Power,Power - Generation & Distribution,330.6,7,2.16,"15,889",Utilities
SINTERCOM,Sintercom India Limited,EQ,7-Oct-20,INE129Z01016,,#N/A,NLC India,Power - Generation & Distribution,57.7,1.15,2.03,"8,001",Utilities
SINTEX,Sintex Industries Limited,BE,5-Nov-98,INE429C01035,,#N/A,NTPC,Power - Generation & Distribution,104.45,2.05,2,"103,349",Utilities
SIRCA,Sirca Paints India Limited,EQ,22-Jul-19,INE792Z01011,,SJVN Limited,SJVN,Power - Generation & Distribution,26,0.45,1.76,"10,217",Utilities
SIS,Security and Intelligence Services (India) Limited,EQ,10-Aug-17,INE285J01028,,#N/A,Guj Ind Power,Power - Generation & Distribution,82.5,0.95,1.16,"1,248",Utilities
SITINET,Siti Networks Limited,BE,10-Jan-07,INE965H01011,,#N/A,NHPC,Power - Generation & Distribution,22.3,0.15,0.68,"22,400",Utilities
SIYSIL,Siyaram Silk Mills Limited,EQ,29-Jan-07,INE076B01028,,#N/A,Tata Power,Power - Generation & Distribution,73.25,0.45,0.62,"23,406",Utilities
SJVN,SJVN Limited,EQ,20-May-10,INE002L01015,,#N/A,Power Grid Corp,Power - Generation & Distribution,193.65,0.55,0.28,"101,310",Utilities
SKFINDIA,SKF India Limited,EQ,27-Jan-99,INE640A01023,,#N/A,CESC,Power - Generation & Distribution,621.8,-0.9,-0.14,"8,242",Utilities
SKIL,SKIL Infrastructure Limited,EQ,9-Oct-96,INE429F01012,,#N/A,BF Utilities,Power - Generation & Distribution,292.35,-1,-0.34,"1,101",Utilities
SKIPPER,Skipper Limited,EQ,27-May-15,INE439E01022,,#N/A,JSW Energy,Power - Generation & Distribution,67.3,-0.65,-0.96,"11,056",Utilities
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-Mar-97,INE411D01015,,#N/A,DPSC,Power - Generation & Distribution,11.8,-0.2,-1.67,"1,149",Utilities
SMARTLINK,Smartlink Holdings Limited,EQ,11-Apr-01,INE178C01020,,#N/A,Raj Rayon Ind,Textiles - Processing,0.25,0.05,25,9,Manufacturing 
SMLISUZU,SML Isuzu Limited,EQ,29-Aug-03,INE294B01019,,#N/A,Aarvee Denim,Textiles - Denim,16.5,2.75,20,39,Manufacturing 
SMPL,Splendid Metal Products Limited,BZ,9-Mar-10,INE215G01021,,#N/A,Hind Nat Glass,Glass & Glass Products,37.15,3.55,10.57,333,Manufacturing 
SMSLIFE,SMS Lifesciences India Limited,EQ,17-Aug-17,INE320X01016,,#N/A,Weizmann,Textiles - Processing,65.6,5.95,9.97,113,Manufacturing 
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-Feb-07,INE812G01025,,Zenith Exports Limited,Zenithexpo,Textiles - Synthetic & Silk,92.7,8.4,9.96,50,Manufacturing 
SNOWMAN,Snowman Logistics Limited,EQ,12-Sep-14,INE734N01019,,#N/A,Lambodhara Text,Textiles - Spinning - Cotton Blended,54.65,4.95,9.96,52,Manufacturing 
SOBHA,Sobha Limited,EQ,20-Dec-06,INE671H01015,,#N/A,Sutlej Textiles,Textiles - General,41.55,3.65,9.63,681,Manufacturing 
SOLARA,Solara Active Pharma Sciences Limited,EQ,27-Jun-18,INE624Z01016,,#N/A,Emami Paper,Paper,87.95,7.1,8.78,532,Manufacturing 
SOLARINDS,Solar Industries India Limited,EQ,3-Apr-06,INE343H01029,,#N/A,Premier Polyfil,Plastics,36.3,2.8,8.36,76,Manufacturing 
SOMANYCERA,Somany Ceramics Limited,EQ,22-Nov-95,INE355A01028,,#N/A,SIL Invest,Finance - Investments,221.85,16.1,7.83,235,Manufacturing 
SOMATEX,Soma Textiles & Industries Limited,BE,14-Aug-96,INE314C01013,,#N/A,Pearl Polymers,Plastics,19.5,0.95,5.12,33,Manufacturing 
SOMICONVEY,Somi Conveyor Beltings Limited,EQ,18-Jul-16,INE323J01019,,#N/A,Garden Silk,Textiles - Weaving,12.6,0.6,5,53,Manufacturing 
SONATSOFTW,Sonata Software Limited,EQ,28-Jul-99,INE269A01021,,#N/A,Hitech Corp,Plastics,124,5.9,5,213,Manufacturing 
SORILINFRA,SORIL Infra Resources Limited,EQ,6-Dec-05,INE034H01016,,#N/A,Welspun India,Textiles - Weaving,74.05,3.5,4.96,"7,440",Manufacturing 
SOTL,Savita Oil Technologies Limited,EQ,28-Jun-95,INE035D01012,,#N/A,JBF Industries,Textiles - Manmade,10.6,0.5,4.95,87,Manufacturing 
SOUTHBANK,The South Indian Bank Limited,EQ,8-Dec-98,INE683A01023,,#N/A,Rollatainers,Packaging,3.2,0.15,4.92,80,Manufacturing 
SOUTHWEST,South West Pinnacle Exploration Limited,EQ,18-Apr-19,INE980Y01015,,#N/A,Brand Concepts,Textiles - General,16,0.75,4.92,17,Manufacturing 
SPAL,S. P. Apparels Limited,EQ,12-Aug-16,INE212I01016,,#N/A,VIP Clothing,Textiles - Readymade Apparels,11.85,0.55,4.87,98,Manufacturing 
SPANDANA,Spandana Sphoorty Financial Limited,EQ,19-Aug-19,INE572J01011,,#N/A,Pudumjee Ind,Paper,12.95,0.6,4.86,23,Manufacturing 
SPARC,Sun Pharma Advanced Research Company Limited,EQ,18-Jul-07,INE232I01014,,#N/A,Kingfa Science,Plastics,562.6,25.95,4.84,681,Manufacturing 
SPCENET,Spacenet Enterprises India Limited,BE,10-Jan-17,INE970N01027,,#N/A,Ashima,Textiles - Spinning - Cotton Blended,14.15,0.65,4.81,378,Manufacturing 
SPECIALITY,Speciality Restaurants Limited,EQ,30-May-12,INE247M01014,,#N/A,Jayaswal Neco,Castings & Forgings,5.85,0.25,4.46,374,Manufacturing 
SPENCERS,Spencer's Retail Limited,EQ,25-Jan-19,INE020801028,,#N/A,CIL Nova Petro,Textiles - Manmade,8.25,0.35,4.43,22,Manufacturing 
SPENTEX,Spentex Industries Limited,BZ,20-Dec-06,INE376C01020,,#N/A,Metalyst Forgin,Castings & Forgings,5.95,0.25,4.39,26,Manufacturing 
SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,10-Jan-96,INE147A01011,,#N/A,Texmo Pipes,Plastics,21.6,0.9,4.35,63,Manufacturing 
SPICEJET,SPICEJET LTD,EQ,10-May-95,INE285B01017,,#N/A,Sezal Glass,Glass & Glass Products,2.4,0.1,4.35,8,Manufacturing 
SPLIL,SPL Industries Limited,EQ,26-Jul-05,INE978G01016,,#N/A,Digjam,Textiles - Woollen & Worsted,3.75,0.15,4.17,33,Manufacturing 
SPMLINFRA,SPML Infra Limited,EQ,14-Feb-96,INE937A01023,,#N/A,Radha Madhav,Packaging,3.9,0.15,4,36,Manufacturing 
